date;topic;temp;lat;lng
2019-10-03-15-56-44;TempGPS;17.937;52.4349;13.2808
2019-10-03-15-56-46;TempGPS;17.937;52.435;13.2808
2019-10-03-15-56-51;TempGPS;17.937;52.4351;13.2808
2019-10-03-15-57-27;TempGPS;17.937;52.4356;13.2809
2019-10-03-15-57-29;TempGPS;18;52.4356;13.2809
2019-10-03-15-57-31;TempGPS;18;52.4357;13.2809
2019-10-03-15-57-47;TempGPS;18;52.4359;13.281
2019-10-03-15-57-52;TempGPS;18;52.436;13.281
2019-10-03-15-58-14;TempGPS;18;52.4363;13.2811
2019-10-03-15-58-18;TempGPS;18;52.4364;13.2811
2019-10-03-15-58-21;TempGPS;18;52.4364;13.2811
2019-10-03-15-58-23;TempGPS;18;52.4365;13.2812
2019-10-03-15-58-25;TempGPS;18;52.4365;13.2812
2019-10-03-15-58-44;TempGPS;18;52.4368;13.2813
2019-10-03-15-58-46;TempGPS;18;52.4368;13.2813
2019-10-03-15-59-07;TempGPS;18.062;52.4372;13.2814
2019-10-03-15-59-09;TempGPS;18;52.4372;13.2814
2019-10-03-15-59-31;TempGPS;18.062;52.4376;13.2815
2019-10-03-15-59-33;TempGPS;18.062;52.4376;13.2815
2019-10-03-15-59-35;TempGPS;18.125;52.4376;13.2815
2019-10-03-15-59-41;TempGPS;18.125;52.4377;13.2816
2019-10-03-15-59-43;TempGPS;18.062;52.4378;13.2816
2019-10-03-15-59-47;TempGPS;18.062;52.4378;13.2816
2019-10-03-16-00-10;TempGPS;18.062;52.4382;13.2817
2019-10-03-16-00-15;TempGPS;18.125;52.4382;13.2817
2019-10-03-16-00-17;TempGPS;18.125;52.4383;13.2817
2019-10-03-16-00-19;TempGPS;18.125;52.4383;13.2817
2019-10-03-16-00-33;TempGPS;18.062;52.4385;13.2818
2019-10-03-16-00-56;TempGPS;18.125;52.4388;13.2819
2019-10-03-16-00-58;TempGPS;18.125;52.4389;13.2819
2019-10-03-16-01-19;TempGPS;18.125;52.4392;13.282
2019-10-03-16-01-21;TempGPS;18.125;52.4392;13.282
2019-10-03-16-01-23;TempGPS;18.187;52.4393;13.2821
2019-10-03-16-01-39;TempGPS;18.125;52.4395;13.2821
2019-10-03-16-01-41;TempGPS;18.187;52.4395;13.2822
2019-10-03-16-02-12;TempGPS;18.187;52.4399;13.2823
2019-10-03-16-02-35;TempGPS;18.187;52.4403;13.2824
2019-10-03-16-02-58;TempGPS;18.187;52.4406;13.2826
2019-10-03-16-03-00;TempGPS;18.187;52.4406;13.2827
2019-10-03-16-03-45;TempGPS;18.125;52.4413;13.2828
2019-10-03-16-03-51;TempGPS;18.125;52.4414;13.2828
2019-10-03-16-04-14;TempGPS;18.125;52.4417;13.2831
2019-10-03-16-04-35;TempGPS;18.125;52.4419;13.2837
2019-10-03-16-04-39;TempGPS;18.125;52.4419;13.2837
